Gene	sgRNA	D7_R1|beta	D7_R1|z	D7_R1|p-value	D7_R1|fdr	D7_R1|wald-p-value	D7_R1|wald-fdr	D7_R2|beta	D7_R2|z	D7_R2|p-value	D7_R2|fdr	D7_R2|wald-p-value	D7_R2|wald-fdr	PLX7_R1|beta	PLX7_R1|z	PLX7_R1|p-value	PLX7_R1|fdr	PLX7_R1|wald-p-value	PLX7_R1|wald-fdr	PLX7_R2|beta	PLX7_R2|z	PLX7_R2|p-value	PLX7_R2|fdr	PLX7_R2|wald-p-value	PLX7_R2|wald-fdr
SMPD2	3	-0.45877	-3.5037	0.20231	0.83971	0.0004588	0.0021478	-0.51469	-3.9158	0.13578	0.78683	9.01E-05	0.00053707	-0.6777	-5.2474	0.047029	0.64759	1.54E-07	1.69E-06	-0.51036	-3.6676	0.12439	0.77569	0.00024486	0.0013848
MIXL1	4	0.094571	1.0115	0.35267	0.90949	0.31179	0.45218	0.12278	1.318	0.25786	0.87573	0.18751	0.31277	-0.14383	-1.5472	0.82324	0.98827	0.12181	0.21643	-0.11967	-1.2215	0.91566	0.99689	0.22188	0.35608
ENPEP	4	-0.082621	-0.8765	0.91199	0.99475	0.38076	0.5229	-0.082305	-0.87496	0.89215	0.99024	0.3816	0.52784	-0.11271	-1.2201	0.9251	0.99409	0.22244	0.34491	-0.061796	-0.63747	0.88747	0.99581	0.52382	0.661
VAV2	3	-0.02427	-0.26885	0.71006	0.9759	0.78804	0.86093	-0.034077	-0.37772	0.71983	0.97113	0.70564	0.80722	0.14537	1.6327	0.29083	0.88983	0.10254	0.18965	-0.015095	-0.16492	0.72422	0.97931	0.86901	0.91819
C5orf24	2	0.45231	3.8317	0.014501	0.41342	0.00012726	0.00070174	0.22694	1.9071	0.10277	0.73519	0.056507	0.12482	0.15809	1.3409	0.2654	0.88983	0.17995	0.29297	0.19194	1.579	0.18674	0.82594	0.11433	0.21609
TLCD1	5	-0.88332	-10.626	0.018899	0.4484	2.26E-26	1.89E-24	-0.77993	-9.5075	0.028463	0.51393	1.95E-21	1.20E-19	-0.80811	-10.09	0.020977	0.50646	6.14E-24	5.97E-22	-0.8549	-9.9001	0.014788	0.4595	4.16E-23	6.04E-21
NHLRC3	4	-0.022821	-0.26674	0.70517	0.97546	0.78967	0.86197	-0.017633	-0.20647	0.66224	0.9659	0.83643	0.89834	0.053707	0.63977	0.52008	0.94303	0.52232	0.6467	-0.1103	-1.2523	0.94681	0.9985	0.21045	0.34168
CREM	11	-0.23588	-5.274	0.60775	0.9603	1.34E-07	1.39E-06	-0.19417	-4.3482	0.7245	0.97174	1.37E-05	0.00010002	-0.17246	-3.8853	0.73446	0.97851	0.00010219	0.0005658	-0.16319	-3.6224	0.77366	0.984	0.00029184	0.0016102
RAB8A	4	0.25611	2.3568	0.091831	0.70622	0.018435	0.049419	0.27828	2.5707	0.062265	0.64952	0.010151	0.03102	0.32269	3.0508	0.069338	0.70978	0.0022827	0.0083897	0.24242	2.1583	0.1215	0.77161	0.030907	0.077912
RPUSD4	4	-0.34744	-4.2431	0.35987	0.91043	2.20E-05	0.00014745	-0.2851	-3.4984	0.47607	0.93663	0.00046803	0.0022709	-0.12912	-1.6153	0.87097	0.98983	0.10625	0.19498	-0.078153	-0.95012	0.94422	0.9985	0.34205	0.49006
BBOX1	3	0.21557	2.0921	0.1331	0.77251	0.036432	0.085632	0.2953	2.8819	0.05215	0.61131	0.0039524	0.014157	0.32909	3.2593	0.065572	0.70606	0.0011171	0.0045698	0.28648	2.7336	0.081819	0.70835	0.0062645	0.021189
