id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
CMIP	6	4.8104e-10	2.842e-07	0.00165	1	5	-0.66277	0.76014	0.73823	0.97748	12939	1	-0.66277
MCL1	3	1.9829e-09	2.842e-07	0.00165	2	3	-1.18	1.0	1.0	1.0	17140	0	-1.18
ITGB2	4	2.959e-08	2.842e-07	0.00165	3	4	-1.2078	0.99939	0.99908	0.999967	17115	0	-1.2078
SCN2A	4	1.9322e-07	8.526e-07	0.003713	4	3	-0.61912	0.19756	0.27533	0.886655	5329	1	-0.61912
GRB2	3	2.6728e-06	1.5631e-05	0.04868	5	2	-0.72466	0.82825	0.80865	0.984303	14036	0	-0.72466
EGFR	4	3.0225e-06	1.6768e-05	0.04868	6	3	-0.45355	0.95912	0.94822	0.993803	16331	0	-0.45355
ZIC2	4	4.4962e-06	2.1315e-05	0.053041	7	3	-0.76487	0.89086	0.86807	0.986866	15069	0	-0.76487
CCL21	3	9.5681e-06	4.462e-05	0.097153	8	2	-0.9165	0.72516	0.70869	0.974802	12434	0	-0.9165
CABP7	4	1.2751e-05	5.4282e-05	0.105061	9	3	-0.74546	0.42971	0.49478	0.944115	8887	1	-0.74546
RYR1	4	1.5139e-05	6.2808e-05	0.109406	10	3	-0.52339	0.97647	0.97057	0.997714	16667	0	-0.52339
TTC39B	7	2.6994e-05	9.9755e-05	0.157966	11	6	-0.29845	0.79061	0.76639	0.97823	13432	1	-0.29845
PRSS21	3	3.0492e-05	0.00011567	0.167904	12	2	-0.39074	0.92338	0.90505	0.990189	15658	0	-0.39074
C16orf53	4	3.5676e-05	0.00013102	0.167963	13	3	-0.31102	0.9922	0.98968	0.999492	16971	0	-0.31102
TBX20	4	3.7389e-05	0.000135	0.167963	14	4	-0.51014	0.99996	0.99991	0.999971	17139	0	-0.51014
FBLN2	3	5.9798e-05	0.00023844	0.242053	15	3	-0.81663	0.98381	0.97921	0.998534	16806	0	-0.81663
FBXO22	3	6.2991e-05	0.00025209	0.242053	16	3	-0.46469	0.99994	0.99985	0.999967	17138	0	-0.46469
ICOSLG	4	6.4016e-05	0.00025265	0.242053	17	4	-0.80295	0.99994	0.99985	0.999967	17137	0	-0.80295
TGM4	4	6.5124e-05	0.00025379	0.242053	18	3	-0.55384	0.60051	0.60747	0.964735	10760	1	-0.55384
ZNF827	6	6.7976e-05	0.00026402	0.242053	19	4	-0.56203	0.86976	0.84738	0.984931	14724	1	-0.56203
SHC1	6	7.6185e-05	0.00030552	0.266089	20	5	-0.30225	0.987	0.98286	0.998534	16866	0	-0.30225
HEY1	3	7.9539e-05	0.00032768	0.271806	21	3	-0.40626	0.9998	0.99964	0.999967	17133	0	-0.40626
SLC39A3	4	8.5505e-05	0.0003669	0.290504	22	2	-0.28969	0.37346	0.44237	0.931838	8104	1	-0.28969
COL4A3BP	5	9.2523e-05	0.00039134	0.296384	23	3	-0.29811	0.90051	0.87951	0.989596	15233	0	-0.29811
APOF	3	0.00010217	0.00042147	0.305899	24	3	-0.34972	0.9999	0.99979	0.999967	17136	0	-0.34972
STRADA	7	0.00010993	0.00044591	0.310693	25	4	-0.13422	0.47098	0.51628	0.948301	9331	2	-0.13422
USP19	3	0.00011177	0.00047092	0.313472	26	3	-0.24177	0.99989	0.99977	0.999967	17135	0	-0.24177
5-Mar	3	0.0001173	0.00050275	0.313472	27	3	-0.52117	0.98312	0.97863	0.998534	16789	0	-0.52117
ENSA	8	0.00012599	0.00052776	0.317002	28	4	-0.031777	0.012539	0.023372	0.506991	795	2	-0.031777
GLYATL2	4	0.00013998	0.0005846	0.339439	29	2	-0.47842	0.78254	0.76015	0.97748	13303	1	-0.47842
C17orf107	4	0.00014986	0.00061984	0.348291	30	4	-0.49286	0.99985	0.99971	0.999967	17134	0	-0.49286
KLF5	3	0.00017277	0.00073352	0.399288	31	3	-0.67701	0.99505	0.99363	0.999967	17019	0	-0.67701
PPP1CA	4	0.00020593	0.00085857	0.453195	32	3	-0.26249	0.74092	0.72045	0.975565	12660	1	-0.26249
OPRM1	6	0.00021295	0.00090347	0.453658	33	5	-0.18135	0.85634	0.83213	0.984609	14487	1	-0.18135
ADD2	11	0.00021518	0.00093189	0.453658	34	2	0.0024367	0.41101	0.47888	0.944115	8615	4	0.0024367
CCL23	4	0.00021847	0.00093758	0.453658	35	3	-0.31245	0.64972	0.64413	0.970143	11373	1	-0.31245
EIF4EBP3	3	0.00023169	0.00098135	0.456532	36	3	-0.50796	0.99977	0.9996	0.999967	17132	0	-0.50796
CELF3	4	0.00023594	0.0010086	0.456532	37	3	-0.40329	0.95979	0.94863	0.993803	16349	0	-0.40329
MMP2	4	0.00024179	0.0010257	0.456532	38	2	-0.21257	0.37535	0.4431	0.931838	8130	1	-0.21257
FGFR1	3	0.00025748	0.0010694	0.456532	39	1	-0.016578	0.91445	0.89522	0.990189	15481	0	-0.016578
TRAPPC2L	3	0.00026093	0.0010746	0.456532	40	3	-0.41115	0.99974	0.99955	0.999967	17130	0	-0.41115
NR1D2	4	0.00027541	0.0011448	0.474776	41	4	-0.40792	0.99972	0.99954	0.999967	17129	0	-0.40792
GTF3C2	6	0.00028531	0.001211	0.49056	42	6	-0.29793	0.99971	0.99952	0.999967	17128	0	-0.29793
TIRAP	4	0.00030872	0.0013258	0.524865	43	4	-0.45275	0.99969	0.99947	0.999967	17127	0	-0.45275
SOX5	7	0.00032693	0.0014224	0.550605	44	3	0.044293	0.21452	0.29552	0.899746	5636	3	0.044293
ACP2	4	0.00038276	0.0015793	0.555428	45	3	-0.4421	0.3565	0.42762	0.93014	7879	1	-0.4421
