id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
Cd274	4	3.1829e-08	2.5616e-07	0.002475	1	4	-3.4698	1.0	1.0	1.0	19326	0	-3.4698
Psmb8	4	7.8113e-08	2.5616e-07	0.002475	2	4	-3.726	1.0	1.0	1.0	19325	0	-3.726
Rela	4	2.1559e-07	1.2808e-06	0.008251	3	4	-3.2413	1.0	1.0	1.0	19324	0	-3.2413
Otulin	4	3.4324e-07	1.7931e-06	0.008663	4	4	-3.6018	1.0	1.0	1.0	19323	0	-3.6018
Ikbkb	4	5.6214e-07	2.8177e-06	0.010891	5	4	-3.4256	0.99936	0.99937	1.0	19225	0	-3.4256
Tcea1	4	3.3472e-06	1.3064e-05	0.042079	6	4	-3.4236	0.99995	0.99995	1.0	19304	0	-3.4236
Psme2	4	5.3801e-06	2.0236e-05	0.049955	7	4	-3.0018	0.99999	0.99999	1.0	19322	0	-3.0018
Fitm2	4	5.5837e-06	2.0749e-05	0.049955	8	4	-3.2601	0.99999	0.99999	1.0	19321	0	-3.2601
Iqsec1	4	6.5814e-06	2.536e-05	0.049955	9	3	-3.4342	0.52797	0.52753	1.0	9700	0	-3.4342
Ptpn11	4	6.8872e-06	2.7409e-05	0.049955	10	4	-3.3541	0.99178	0.99181	1.0	18907	0	-3.3541
Creb1	4	7.2506e-06	2.8433e-05	0.049955	11	4	-3.3039	0.99999	0.99999	1.0	19320	0	-3.3039
Psme1	4	7.884e-06	3.1507e-05	0.050743	12	4	-3.4153	0.99992	0.99992	1.0	19301	0	-3.4153
Tcof1	4	9.9079e-06	3.7143e-05	0.055217	13	4	-3.1113	0.99999	0.99999	1.0	19319	0	-3.1113
Hdac5	4	1.1108e-05	4.1241e-05	0.056931	14	4	-2.465	0.99896	0.99894	1.0	19192	0	-2.465
Ypel5	4	1.3928e-05	5.4561e-05	0.067268	15	4	-3.3861	0.99999	0.99998	1.0	19318	0	-3.3861
Fadd	4	1.4881e-05	5.6098e-05	0.067268	16	4	-3.3543	0.99998	0.99998	1.0	19315	0	-3.3543
Ptpn2	4	1.5673e-05	5.9172e-05	0.067268	17	4	-3.1608	0.99998	0.99998	1.0	19317	0	-3.1608
Srrd	4	1.6806e-05	6.6857e-05	0.071782	18	4	-2.8809	0.99998	0.99998	1.0	19316	0	-2.8809
Ube2h	4	2.0077e-05	8.0177e-05	0.081553	19	4	-2.6743	0.99998	0.99998	1.0	19314	0	-2.6743
Krit1	4	2.1329e-05	8.53e-05	0.081782	20	4	-2.9306	0.99998	0.99998	1.0	19313	0	-2.9306
Pcgf6	4	2.2288e-05	8.9399e-05	0.081782	21	4	-2.5526	0.99998	0.99998	1.0	19312	0	-2.5526
Gpi1	4	2.4007e-05	9.6059e-05	0.081782	22	4	-2.7482	0.99998	0.99998	1.0	19311	0	-2.7482
March5	4	2.5712e-05	0.00010118	0.081782	23	3	-2.2456	0.96994	0.96997	1.0	18362	0	-2.2456
Jmjd6	4	2.6067e-05	0.00010221	0.081782	24	4	-2.8943	0.99997	0.99997	1.0	19310	0	-2.8943
Nprl2	4	2.698e-05	0.00010579	0.081782	25	4	-2.8673	0.99997	0.99997	1.0	19309	0	-2.8673
Usp18	4	2.8961e-05	0.00011194	0.081958	26	4	-3.0202	0.99997	0.99997	1.0	19308	0	-3.0202
Pbrm1	4	2.9498e-05	0.0001145	0.081958	27	3	-3.1129	0.94861	0.94863	1.0	17895	0	-3.1129
Actr3	4	3.2192e-05	0.00012424	0.08575	28	4	-2.5396	0.99997	0.99996	1.0	19307	0	-2.5396
C330027C09Rik	4	3.5897e-05	0.00013704	0.091328	29	4	-2.6019	0.99996	0.99996	1.0	19306	0	-2.6019
Cflar	4	3.8467e-05	0.00014627	0.094224	30	4	-2.9628	0.99983	0.99983	1.0	19283	0	-2.9628
Nadk	4	4.4155e-05	0.00016983	0.105877	31	4	-2.9411	0.99996	0.99995	1.0	19305	0	-2.9411
Gabpb1	4	6.6503e-05	0.00026512	0.150165	32	4	-2.6021	0.99993	0.99993	1.0	19303	0	-2.6021
Krtap1-5	4	6.8284e-05	0.00027434	0.150165	33	3	-2.1221	0.71254	0.71215	1.0	13176	0	-2.1221
Dtx3l	4	6.8901e-05	0.00027639	0.150165	34	4	-2.7239	0.98716	0.98711	1.0	18782	0	-2.7239
Tm2d3	4	7.0297e-05	0.00027972	0.150165	35	4	-2.4361	0.99993	0.99993	1.0	19302	0	-2.4361
Cachd1	4	7.8652e-05	0.00031379	0.154673	36	2	-1.7447	0.45908	0.45892	1.0	8416	0	-1.7447
Ikbkg	4	8.0501e-05	0.00032404	0.154673	37	3	-1.14	0.97498	0.97512	1.0	18474	0	-1.14
Ywhaz	4	8.0994e-05	0.00032558	0.154673	38	4	-2.2824	0.99992	0.99992	1.0	19300	0	-2.2824
Gpr31b	4	8.1822e-05	0.00032763	0.154673	39	4	-2.2473	0.99992	0.99992	1.0	19299	0	-2.2473
Man2a1	4	8.2053e-05	0.00032814	0.154673	40	4	-3.0563	0.99343	0.99347	1.0	18960	0	-3.0563
Bptf	3	8.5741e-05	0.00025795	0.150165	41	3	-2.822	0.99991	0.99991	1.0	19298	0	-2.822
Tk1	4	8.8284e-05	0.00034658	0.159477	42	4	-2.6965	0.99991	0.99991	1.0	19297	0	-2.6965
Arid4a	4	9.2872e-05	0.00036759	0.164981	43	3	-2.4557	0.47283	0.47261	1.0	8661	0	-2.4557
Rraga	4	9.5692e-05	0.00038347	0.164981	44	4	-2.6013	0.9999	0.9999	1.0	19296	0	-2.6013
Mprip	4	9.7167e-05	0.00039013	0.164981	45	4	-3.0922	0.9974	0.99739	1.0	19103	0	-3.0922
Keap1	4	9.8288e-05	0.00039269	0.164981	46	4	-2.2769	0.9999	0.9999	1.0	19295	0	-2.2769
Nfix	4	0.00011239	0.00043931	0.175894	47	3	-2.0388	0.9762	0.97638	1.0	18510	0	-2.0388
Ddi2	4	0.00011336	0.00044341	0.175894	48	4	-2.5525	0.99989	0.99989	1.0	19294	0	-2.5525
Serpinb9	4	0.00011384	0.00044597	0.175894	49	4	-2.9771	0.99989	0.99989	1.0	19293	0	-2.9771
Raf1	4	0.00012238	0.00048081	0.185842	50	4	-2.6592	0.99988	0.99988	1.0	19292	0	-2.6592
Xrcc5	4	0.00012903	0.00050847	0.189096	51	4	-2.0224	0.99987	0.99988	1.0	19291	0	-2.0224
Ccdc137	4	0.0001364	0.00054126	0.189096	52	4	-2.4097	0.99986	0.99987	1.0	19290	0	-2.4097
Maea	4	0.0001385	0.00054894	0.189096	53	4	-2.9967	0.99947	0.99948	1.0	19239	0	-2.9967
Nckap1	4	0.00013992	0.00055253	0.189096	54	4	-2.2933	0.99986	0.99986	1.0	19289	0	-2.2933
Epg5	4	0.00014317	0.00057097	0.189096	55	4	-2.9381	0.99972	0.99971	1.0	19267	0	-2.9381
Crkl	4	0.00014414	0.00057507	0.189096	56	4	-3.0359	0.99868	0.99865	1.0	19173	0	-3.0359
Chmp5	4	0.00014528	0.00057712	0.189096	57	4	-2.4553	0.99985	0.99986	1.0	19288	0	-2.4553
Tacc3	4	0.00015429	0.00060735	0.189096	58	4	-2.328	0.99985	0.99985	1.0	19287	0	-2.328
Ccdc155	4	0.00015491	0.00060889	0.189096	59	3	-2.7944	0.81295	0.81287	1.0	15078	0	-2.7944
Irf1	4	0.00016032	0.00062887	0.189096	60	3	-3.1177	0.95861	0.9586	1.0	18104	0	-3.1177
Stub1	4	0.00016047	0.00062938	0.189096	61	4	-2.3099	0.99984	0.99984	1.0	19286	0	-2.3099
Gml	4	0.00016309	0.00063809	0.189096	62	4	-2.1802	0.99984	0.99984	1.0	19285	0	-2.1802
Lrp10	4	0.00016311	0.00063809	0.189096	63	4	-2.9134	0.98507	0.98503	1.0	18729	0	-2.9134
Olfr512	4	0.00016692	0.00064987	0.189096	64	3	-2.0527	0.65921	0.65902	1.0	12165	0	-2.0527
Snapin	4	0.0001681	0.00065141	0.189096	65	4	-2.1839	0.99983	0.99984	1.0	19284	0	-2.1839
Itgav	4	0.00016822	0.00065141	0.189096	66	4	-3.1122	0.99895	0.99894	1.0	19191	0	-3.1122
Becn1	4	0.00017789	0.00068625	0.189096	67	4	-2.2091	0.99982	0.99982	1.0	19282	0	-2.2091
Memo1	4	0.00018036	0.00069086	0.189096	68	4	-3.1571	0.99931	0.99932	1.0	19221	0	-3.1571
Epc1	4	0.0001806	0.00069137	0.189096	69	4	-2.5447	0.99982	0.99982	1.0	19281	0	-2.5447
Zfp281	4	0.00018244	0.00069803	0.189096	70	4	-2.188	0.98254	0.98252	1.0	18659	0	-2.188
Tiparp	4	0.00018613	0.0007052	0.189096	71	4	-2.4912	0.99981	0.99981	1.0	19280	0	-2.4912
Hipk2	4	0.00018845	0.00071391	0.189096	72	4	-2.3629	0.99981	0.99981	1.0	19279	0	-2.3629
Ankrd11	4	0.00019224	0.00072774	0.189096	73	4	-2.4657	0.99981	0.9998	1.0	19278	0	-2.4657
Sox11	4	0.00019224	0.00072774	0.189096	74	4	-2.4702	0.99981	0.9998	1.0	19277	0	-2.4702
Tm2d1	4	0.00019488	0.00074004	0.189096	75	4	-2.0946	0.99981	0.9998	1.0	19276	0	-2.0946
Ten1	4	0.00019589	0.00074362	0.189096	76	4	-2.6537	0.98438	0.98435	1.0	18707	0	-2.6537
Gale	4	0.00020134	0.00076156	0.190656	77	4	-3.072	0.99964	0.99964	1.0	19261	0	-3.072
Prkcq	4	0.00020329	0.00077231	0.190656	78	4	-2.6666	0.9998	0.99979	1.0	19275	0	-2.6666
Erap1	4	0.00020653	0.0007841	0.190656	79	2	-1.8885	0.16595	0.17625	1.0	3205	1	-1.8885
Fam170b	4	0.0002082	0.00078922	0.190656	80	3	-3.1175	0.69487	0.69464	1.0	12850	0	-3.1175
Pax3	4	0.00021414	0.00081227	0.193803	81	4	-2.3075	0.99979	0.99979	1.0	19274	0	-2.3075
